[00:02:21] [Server thread/INFO]: You whisper to +CHUMAPRO09: ya me meto, esperenme me habre el mc
[00:02:21] [Server thread/INFO]: You whisper to ignacioae309: ya me meto, esperenme me habre el mc
[00:02:29] [User Authenticator #3/INFO]: UUID of player xFerNando1314x is 28fc7624-3b5a-33e5-b9a1-c646b787031c
[00:02:31] [Server thread/INFO]: xFerNando1314x joined the game
[00:02:31] [Server thread/INFO]: xFerNando1314x[/127.28.244.156:55809] logged in with entity id 8519 at ([world]379.5, 63.0, -482.5)
[00:02:39] [Async Chat Thread - #6/INFO]: [Not Secure] <+CHUMAPRO09> :o
[00:03:15] [Server thread/INFO]: xFerNando1314x issued server command: /effect clear xFerNando1314x
[00:03:15] [Server thread/INFO]: [xFerNando1314x: Removed every effect from xFerNando1314x]
[00:03:45] [Server thread/INFO]: xFerNando1314x issued server command: /gamemode creative
[00:03:45] [Server thread/INFO]: [xFerNando1314x: Set own game mode to Creative Mode]
[00:03:56] [Server thread/INFO]: xFerNando1314x issued server command: /gamemode survival
[00:03:56] [Server thread/INFO]: [xFerNando1314x: Set own game mode to Survival Mode]
[00:05:23] [Server thread/INFO]: xFerNando1314x drowned
[00:05:41] [Async Chat Thread - #8/INFO]: [Not Secure] <+CHUMAPRO09> Realmente se ahogo
[00:06:27] [Server thread/INFO]: xFerNando1314x issued server command: /gamemode creative
[00:06:27] [Server thread/INFO]: [xFerNando1314x: Set own game mode to Creative Mode]
[00:06:39] [Server thread/INFO]: xFerNando1314x issued server command: /gamemode survival
[00:06:39] [Server thread/INFO]: [xFerNando1314x: Set own game mode to Survival Mode]
[00:07:22] [Server thread/INFO]: +CHUMAPRO09 issued server command: /tell xFerNando1314x llamada?
[00:07:36] [Server thread/INFO]: xFerNando1314x issued server command: /msg +CHUMAPRO09 estoy en llamada con rodolfo
[00:08:11] [Server thread/INFO]: +CHUMAPRO09 issued server command: /tell xFerNando1314x y no invitan
[00:09:10] [Server thread/INFO]: +CHUMAPRO09 issued server command: /tell xFerNando1314x (Le manda el stiker del gato sacando el dedo del medio)
[00:09:25] [Server thread/INFO]: xFerNando1314x issued server command: /gamerule playersSleepingPercentage 25
[00:09:25] [Server thread/INFO]: [xFerNando1314x: Gamerule playersSleepingPercentage is now set to: 25]
[00:16:22] [Server thread/INFO]: xFerNando1314x drowned
[00:17:57] [Server thread/INFO]: xFerNando1314x drowned
[00:18:02] [Server thread/INFO]: xFerNando1314x issued server command: /grave
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:19:57] [Server thread/WARN]: +CHUMAPRO09 moved too quickly! 593.0,-91.0,-362.0
[00:21:06] [Server thread/INFO]: xFerNando1314x issued server command: /gamemode creative
[00:21:06] [Server thread/INFO]: [xFerNando1314x: Set own game mode to Creative Mode]
[00:21:07] [Server thread/INFO]: ignacioae309 has made the advancement [Acquire Hardware]
[00:21:32] [Server thread/INFO]: ignacioae309 has made the advancement [Suit Up]
[00:22:07] [Server thread/INFO]: xFerNando1314x issued server command: /gamemode survival
[00:22:07] [Server thread/INFO]: [xFerNando1314x: Set own game mode to Survival Mode]
